Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,OT_Flag,Notes
"Sun, Jan 29, 2017",6:00 PM,Washington Wizards,107,New Orleans Pelicans,94,Box Score,,
"Sun, Jan 29, 2017",9:00 PM,Golden State Warriors,113,Portland Trail Blazers,111,Box Score,,
"Sun, Jan 29, 2017",7:00 PM,Dallas Mavericks,105,San Antonio Spurs,101,Box Score,,
"Sun, Jan 29, 2017",6:00 PM,Orlando Magic,114,Toronto Raptors,113,Box Score,,
"Mon, Jan 30, 2017",8:00 PM,Detroit Pistons,109,Boston Celtics,113,Box Score,,
"Mon, Jan 30, 2017",8:30 PM,Cleveland Cavaliers,97,Dallas Mavericks,104,Box Score,,
"Mon, Jan 30, 2017",7:30 PM,Brooklyn Nets,96,Miami Heat,104,Box Score,,
"Mon, Jan 30, 2017",8:00 PM,Orlando Magic,105,Minnesota Timberwolves,111,Box Score,OT,
"Mon, Jan 30, 2017",6:00 PM,Sacramento Kings,119,Philadelphia 76ers,122,Box Score,,
"Mon, Jan 30, 2017",10:30 PM,Memphis Grizzlies,115,Phoenix Suns,96,Box Score,,
"Tue, Jan 31, 2017",8:00 PM,Sacramento Kings,83,Houston Rockets,105,Box Score,,
"Tue, Jan 31, 2017",10:30 PM,Denver Nuggets,116,Los Angeles Lakers,120,Box Score,,
"Tue, Jan 31, 2017",10:00 PM,Charlotte Hornets,98,Portland Trail Blazers,115,Box Score,,
"Tue, Jan 31, 2017",8:30 PM,Oklahoma City Thunder,94,San Antonio Spurs,108,Box Score,,
"Tue, Jan 31, 2017",7:00 PM,New Orleans Pelicans,106,Toronto Raptors,108,Box Score,OT,
"Tue, Jan 31, 2017",7:00 PM,New York Knicks,101,Washington Wizards,117,Box Score,,
